datetime_utc,date,hour,minute,price_eur_mwh
2024-05-26 09:45:00,2024-05-26,9,45,262.61
2024-05-26 10:00:00,2024-05-26,10,0,-566.13
2024-05-26 10:15:00,2024-05-26,10,15,-570.30
2024-05-26 10:30:00,2024-05-26,10,30,-530.39
2024-05-26 10:45:00,2024-05-26,10,45,90.48
2024-05-26 11:00:00,2024-05-26,11,0,160.32
2024-05-26 11:15:00,2024-05-26,11,15,336.12
2024-05-26 11:30:00,2024-05-26,11,30,386.13
2024-05-26 11:45:00,2024-05-26,11,45,302.57
2024-05-26 12:00:00,2024-05-26,12,0,196.15
2024-05-26 12:15:00,2024-05-26,12,15,245.41
2024-05-26 12:30:00,2024-05-26,12,30,213.23
2024-05-26 12:45:00,2024-05-26,12,45,123.83
2024-05-26 13:00:00,2024-05-26,13,0,223.33
2024-05-26 13:15:00,2024-05-26,13,15,382.56
2024-05-26 13:30:00,2024-05-26,13,30,392.62
2024-05-26 13:45:00,2024-05-26,13,45,359.70
2024-05-26 14:00:00,2024-05-26,14,0,358.10
2024-05-26 14:15:00,2024-05-26,14,15,372.50
2024-05-26 14:30:00,2024-05-26,14,30,354.44
2024-05-26 14:45:00,2024-05-26,14,45,239.00
2024-05-26 15:00:00,2024-05-26,15,0,-604.81
2024-05-26 15:15:00,2024-05-26,15,15,-563.75
2024-05-26 15:30:00,2024-05-26,15,30,-300.42
2024-05-26 15:45:00,2024-05-26,15,45,-78.50
2024-05-26 16:00:00,2024-05-26,16,0,-203.54
2024-05-26 16:15:00,2024-05-26,16,15,172.79
2024-05-26 16:30:00,2024-05-26,16,30,37.50
2024-05-26 16:45:00,2024-05-26,16,45,233.09
2024-05-26 17:00:00,2024-05-26,17,0,-173.52
2024-05-26 17:15:00,2024-05-26,17,15,248.30
2024-05-26 17:30:00,2024-05-26,17,30,-94.36
2024-05-26 17:45:00,2024-05-26,17,45,-77.07
2024-05-26 18:00:00,2024-05-26,18,0,-169.10
2024-05-26 18:15:00,2024-05-26,18,15,-97.22
2024-05-26 18:30:00,2024-05-26,18,30,-64.56
2024-05-26 18:45:00,2024-05-26,18,45,75.00
2024-05-26 19:00:00,2024-05-26,19,0,-68.96
2024-05-26 19:15:00,2024-05-26,19,15,-68.80
2024-05-26 19:30:00,2024-05-26,19,30,-76.53
2024-05-26 19:45:00,2024-05-26,19,45,-71.98
2024-05-26 20:00:00,2024-05-26,20,0,75.00
2024-05-26 20:15:00,2024-05-26,20,15,227.32
2024-05-26 20:30:00,2024-05-26,20,30,239.55
2024-05-26 20:45:00,2024-05-26,20,45,-98.97
2024-05-26 21:00:00,2024-05-26,21,0,75.00
2024-05-26 21:15:00,2024-05-26,21,15,75.00
2024-05-26 21:30:00,2024-05-26,21,30,62.50
2024-05-26 21:45:00,2024-05-26,21,45,-91.12
2024-05-26 22:00:00,2024-05-26,22,0,25.00
2024-05-26 22:15:00,2024-05-26,22,15,25.00
2024-05-26 22:30:00,2024-05-26,22,30,24.36
2024-05-26 22:45:00,2024-05-26,22,45,-79.00
2024-05-26 23:00:00,2024-05-26,23,0,16.87
2024-05-26 23:15:00,2024-05-26,23,15,120.00
2024-05-26 23:30:00,2024-05-26,23,30,126.44
2024-05-26 23:45:00,2024-05-26,23,45,125.00
2024-05-27 00:00:00,2024-05-27,0,0,24.84
2024-05-27 00:15:00,2024-05-27,0,15,-26.81
2024-05-27 00:30:00,2024-05-27,0,30,12.81
